date,log_imoex_actual,log_imoex_pred_ecm,log_imoex_pred_rw,imoex_actual,imoex_pred_ecm,imoex_pred_rw
2025-02-06,7.996357635020928,7.986545369466198,7.982948810028676,2970.12,2941.1189097165857,2930.559999999999
2025-02-07,7.995148198575255,7.9978551330379,7.996357635020928,2966.53,2974.5710807206497,2970.12
2025-02-10,8.010489062609418,7.9932027350787775,7.995148198575255,3012.3900000000012,2960.76433443824,2966.53
2025-02-11,8.012356266211071,8.005359825260804,8.010489062609418,3018.0199999999995,2996.9782956371823,3012.3900000000012
2025-02-12,8.01487461324372,8.015141851568915,8.012356266211071,3025.6300000000015,3026.4386723431703,3018.0199999999995
2025-02-13,8.073081845112451,8.059367042022052,8.01487461324372,3206.9700000000025,3163.287272644651,3025.6300000000015
2025-02-14,8.066207568006265,8.04794709084529,8.073081845112451,3185.0000000000027,3127.368173975309,3206.9700000000025
2025-02-17,8.104222990422299,8.06838077177933,8.066207568006265,3308.409999999998,3191.929180550771,3185.0000000000027
2025-02-18,8.0891020339043,8.107249527598189,8.104222990422299,3258.760000000002,3318.4381935535894,3308.409999999998
2025-02-19,8.092740963395336,8.087019727196033,8.0891020339043,3270.6399999999994,3251.981322283772,3258.760000000002
2025-02-20,8.099438879422529,8.096933827582088,8.092740963395336,3292.6200000000026,3284.3821386519066,3270.6399999999994
2025-02-21,8.096601247441388,8.0967289572893,8.099438879422529,3283.290000000001,3283.7093352426045,3292.6200000000026
2025-02-24,8.102777142897873,8.094342688105415,8.096601247441388,3303.6300000000006,3275.8828625961696,3283.290000000001
2025-02-25,8.109567751470733,8.104495957430608,8.102777142897873,3326.1400000000017,3309.313210047621,3303.6300000000006
2025-02-26,8.09437844497296,8.115168403807955,8.109567751470733,3276.000000000002,3344.8208173159583,3326.1400000000017
2025-02-27,8.08105751328169,8.092852844343142,8.09437844497296,3232.6499999999996,3271.0059427737615,3276.000000000002
2025-02-28,8.071056077538943,8.077451052903472,8.08105751328169,3200.48,3221.0125734308317,3232.6499999999996
2025-03-03,8.053801256667555,8.074191069604801,8.071056077538943,3145.7300000000014,3210.529223294126,3200.48
2025-03-04,8.083831568700582,8.061296280798423,8.053801256667555,3241.6299999999983,3169.395899717276,3145.7300000000014
2025-03-05,8.090592287737854,8.10187541779041,8.083831568700582,3263.620000000002,3300.6523765838915,3241.6299999999983
2025-03-06,8.073309448404016,8.102505179295367,8.090592287737854,3207.7000000000025,3302.731655047956,3263.620000000002
2025-03-07,8.060502155072426,8.07574708521173,8.073309448404016,3166.880000000002,3215.5287455306593,3207.7000000000025
2025-03-10,8.071159181757091,8.072115174104587,8.060502155072426,3200.810000000002,3203.8714129763225,3166.880000000002
2025-03-11,8.071202919729155,8.059716151238113,8.071159181757091,3200.9499999999994,3164.3917981733853,3200.810000000002
2025-03-12,8.065884124809333,8.074828578965771,8.071202919729155,3183.970000000002,3212.5766182750367,3200.9499999999994
2025-03-13,8.04609135936649,8.060752015176618,8.065884124809333,3121.5699999999983,3167.6713758292735,3183.970000000002
2025-03-14,8.069367405621792,8.055550791174241,8.04609135936649,3195.079999999999,3151.2383803294138,3121.5699999999983
2025-03-17,8.084929179041985,8.07518333833622,8.069367405621792,3245.190000000002,3213.7165121157104,3195.079999999999
2025-03-18,8.088712239155456,8.089542846979343,8.084929179041985,3257.4900000000025,3260.1968206778333,3245.190000000002
2025-03-19,8.080172398623228,8.084958509658312,8.088712239155456,3229.789999999999,3245.2851848187074,3257.4900000000025
2025-03-20,8.078111318662922,8.075727638400501,8.080172398623228,3223.1399999999976,3215.4662143581586,3229.789999999999
2025-03-21,8.068280770653931,8.070981384939717,8.078111318662922,3191.6099999999974,3200.240956757522,3223.1399999999976
2025-03-24,8.064215003319386,8.056729913379169,8.068280770653931,3178.6600000000026,3154.956266967268,3191.6099999999974
2025-03-25,8.05978826417896,8.060944674017614,8.064215003319386,3164.6199999999976,3168.281714516882,3178.6600000000026
2025-03-26,8.0539856165895,8.053837940340983,8.05978826417896,3146.3099999999977,3145.8453990486337,3164.6199999999976
2025-03-27,8.03397949213581,8.048464079552605,8.0539856165895,3083.9899999999993,3128.9854060142043,3146.3099999999977
2025-03-28,8.014881223415452,8.03164871657172,8.03397949213581,3025.6500000000024,3076.810281874211,3083.9899999999993
2025-03-31,8.010811014236477,8.007432177448194,8.014881223415452,3013.359999999999,3003.195530088348,3025.6500000000024
2025-04-01,7.994440050117752,8.017243820371572,8.010811014236477,2964.4300000000007,3032.806842518418,3013.359999999999
2025-04-02,7.981524860462911,7.988540815085409,7.994440050117752,2926.3899999999985,2946.9936119356385,2964.4300000000007
2025-04-03,7.958430039883066,7.9671111772957195,7.981524860462911,2859.579999999999,2884.5124714476283,2926.3899999999985
2025-04-04,7.93091458881633,7.950564617699371,7.958430039883066,2781.9700000000003,2837.176418345448,2859.579999999999
2025-04-07,7.912016594326926,7.922574820206693,7.93091458881633,2729.8899999999994,2758.865490963727,2781.9700000000003
2025-04-08,7.91804988326706,7.918774717732982,7.912016594326926,2746.4100000000003,2748.4014142612114,2729.8899999999994
2025-04-09,7.882575262446458,7.9015027473249955,7.91804988326706,2650.690000000001,2701.3387091664836,2746.4100000000003
2025-04-10,7.924535482217015,7.8923619317127285,7.882575262446458,2764.2799999999997,2676.7587815594684,2650.690000000001
2025-04-11,7.948003721686484,7.934994269333707,7.924535482217015,2829.920000000001,2793.342731590899,2764.2799999999997
2025-04-14,7.944382228811501,7.94933198338358,7.948003721686484,2819.6900000000005,2833.681371831904,2829.920000000001
2025-04-15,7.939354877167307,7.937747328117349,7.944382228811501,2805.5500000000015,2801.0435638919016,2819.6900000000005
2025-04-16,7.9592165593305415,7.943088482498948,7.939354877167307,2861.8300000000004,2816.044395212327,2805.5500000000015
2025-04-17,7.960435315756336,7.958602761943759,7.9592165593305415,2865.320000000001,2860.0739552075684,2861.8300000000004
2025-04-18,7.9630320000837465,7.953903292611791,7.960435315756336,2872.7700000000004,2846.664658336314,2865.320000000001
2025-04-21,7.980181006340667,7.964924037627385,7.9630320000837465,2922.460000000001,2878.210533918449,2872.7700000000004
2025-04-22,7.991081326112544,7.980505008953277,7.980181006340667,2954.4899999999984,2923.407038088373,2922.460000000001
2025-04-23,7.987262896725841,7.987846856266545,7.991081326112544,2943.2300000000005,2944.9492291702677,2954.4899999999984
2025-04-24,7.987670528965684,7.98887284163754,7.987262896725841,2944.4300000000003,2947.9722545224317,2943.2300000000005
2025-04-25,8.008412142748034,7.990158044852068,7.987670528965684,3006.1399999999976,2951.763433636236,2944.4300000000003
2025-04-28,8.017736034387408,8.003263335847022,8.008412142748034,3034.3000000000015,2990.7017440279724,3006.1399999999976
2025-04-29,7.99215369413561,8.007346663596795,8.017736034387408,2957.659999999999,3002.9387262523646,3034.3000000000015
2025-04-30,7.978814785337973,7.993371702464706,7.99215369413561,2918.4700000000007,2961.264649315438,2957.659999999999
2025-05-02,7.950396683711585,7.965199035138534,7.978814785337973,2836.699999999999,2879.002143492183,2918.4700000000007
2025-05-05,7.915275147246908,7.946633731725762,7.950396683711585,2738.800000000001,2826.0456924975115,2836.699999999999
2025-05-06,7.944516986319117,7.913253666734068,7.915275147246908,2820.070000000001,2733.269161296191,2738.800000000001
2025-05-07,7.949123267769257,7.9547100252358725,7.944516986319117,2833.0900000000006,2848.9620821647895,2820.070000000001
2025-05-08,7.955400535822752,7.952696611266834,7.949123267769257,2850.9300000000007,2843.2317128499426,2833.0900000000006
2025-05-12,7.982815720805806,7.954149826718229,7.955400535822752,2930.1699999999996,2847.366544780104,2850.9300000000007
2025-05-13,7.984643295176087,7.974646567487747,7.982815720805806,2935.5300000000007,2906.330498869315,2930.1699999999996
2025-05-14,7.980779637716222,7.990242562525063,7.984643295176087,2924.2099999999996,2952.01292035575,2935.5300000000007
2025-05-15,7.951576936634077,7.975288869304067,7.980779637716222,2840.0499999999997,2908.197839861621,2924.2099999999996
2025-05-16,7.951679042299446,7.952432006011852,7.951576936634077,2840.3400000000006,2842.479478324585,2840.0499999999997
2025-05-19,7.966458350866061,7.954599706167188,7.951679042299446,2882.630000000001,2848.6478046568873,2840.3400000000006
2025-05-20,7.945704195083011,7.964068250407539,7.966458350866061,2823.4199999999996,2875.7484517869716,2882.630000000001
2025-05-21,7.940790284964436,7.946197466177844,7.945704195083011,2809.579999999999,2824.8130550232136,2823.4199999999996
2025-05-22,7.934570768830561,7.942872352029914,7.940790284964436,2792.1599999999994,2815.435827983699,2809.579999999999
2025-05-23,7.926638699612789,7.937905002478296,7.934570768830561,2770.1000000000013,2801.4852514663094,2792.1599999999994
2025-05-26,7.900947790977262,7.914789421752516,7.926638699612789,2699.8399999999997,2737.47001804518,2770.1000000000013
2025-05-27,7.914526363984667,7.898669947280774,7.900947790977262,2736.7500000000005,2693.6971853163623,2699.8399999999997
2025-05-28,7.932074963068391,7.919870559671211,7.914526363984667,2785.199999999999,2751.4148786328,2736.7500000000005
2025-05-29,7.9409184097866605,7.937033520454371,7.932074963068391,2809.9400000000005,2799.04487095769,2785.199999999999
2025-05-30,7.9476184775907095,7.947417559168936,7.9409184097866605,2828.8300000000004,2828.2616930345152,2809.9400000000005
