date,source,p_synthetic_raw,imoex,fair_value_A,fair_ext,dev_ext
2025-08-08,polymarket,0.295,2924.63,2363.943005274096,2748.031813748515,0.0642635159345526
2025-08-11,polymarket,0.37,2964.15,2367.4193532935983,2745.714668748177,0.0795550002839196
2025-08-12,polymarket,0.35,2977.18,2369.901297219294,2749.181901612163,0.08293307119988502
2025-08-13,polymarket,0.375,2973.02,2360.8523424950854,2740.988307410702,0.08465256563187928
2025-08-14,polymarket,0.39,2977.34,2363.1162546073087,2741.533119156006,0.08601277846921973
2025-08-15,polymarket,0.345,3012.09,2380.4563049468347,2757.6130116198324,0.09228161722035355
2025-08-18,polymarket,0.335,2951.26,2373.7565952238824,2753.426793490786,0.07184981528359491
2025-08-19,polymarket,0.39,2965.66,2381.231981036307,2755.3363213737775,0.07633321456792519
2025-08-20,polymarket,0.38,2940.78,2363.7440480872538,2742.952936163397,0.07212193152439061
2025-08-21,polymarket,0.315,2883.5,2350.0488242622787,2737.0732336413175,0.053497569797897215
2025-08-22,polymarket,0.25,2896.76,2355.1745381982605,2745.381763409057,0.05513923003661625
2025-08-25,polymarket,0.245,2887.24,2349.1288066300203,2741.17088585078,0.05328712445589989
2025-08-26,polymarket,0.235,2885.87,2338.7922751204355,2734.060194842055,0.055525407028105045
2025-08-27,polymarket,0.235,2911.48,2342.553216898269,2736.8197642452274,0.06381868402026147
2025-08-28,polymarket,0.255,2912.72,2338.9650757965105,2732.5789547131108,0.0659234548287011
2025-08-29,polymarket,0.255,2899.38,2331.371943879959,2726.818092746432,0.0632832486012167
2025-09-01,polymarket,0.245,2886.97,2334.737910160937,2730.054034413379,0.05747723803581706
2025-09-02,polymarket,0.185,2845.39,2330.424273309832,2730.8824292587624,0.04193061170059886
2025-09-03,polymarket,0.205,2867.55,2345.536045713302,2740.8112977985857,0.04624130902525492
2025-09-04,polymarket,0.195,2873.7,2358.37136819569,2751.1997646693317,0.044526114353383495
2025-09-05,polymarket,0.205,2901.45,2357.6439252986825,2749.9332580704986,0.05509833429041611
2025-09-08,polymarket,0.145,2921.62,2365.572112183756,2759.992475120506,0.05856085708075609
2025-09-09,polymarket,0.165,2935.96,2355.090751516988,2750.5300588485516,0.0674160751506474
2025-09-10,polymarket,0.155,2914.26,2351.574103397364,2748.7859044622764,0.06019897558012777
2025-09-11,polymarket,0.14,2908.14,2344.3899332990995,2744.4557410031225,0.05964179219630972
2025-09-12,polymarket,0.145,2839.73,2325.0550692918687,2729.8030870784255,0.04026917305571076
2025-09-15,polymarket,0.145,2809.85,2318.514938307507,2725.1894544995375,0.031065930245943063
2025-09-16,polymarket,0.155,2802.77,2310.1041317604054,2718.7245647248355,0.030913552761337115
2025-09-17,polymarket,0.155,2814.04,2313.0293455275805,2721.475638600462,0.03401256292234889
2025-09-18,polymarket,0.145,2793.58,2302.4803129682764,2714.637266777206,0.029080398397578033
