date,S1_long_thr2,S1_long_thr3,S1_long_thr5,S1_long_thr7,S1_long_thr10,S2_ls_thr3,S2_ls_thr5,S2_ls_thr7,S2_ls_thr10,S3_prop_sc5,S3_prop_sc10,S3_prop_sc15,S4_long_thr3_rate_filter,BH_buy_hold,RF_ofz
2023-02-24,1.6011282798095,1.6011282798095,1.6011282798095,1.6240634962265583,1.643824854452394,0.9239534312205245,0.9885495627205478,1.1408383179423045,1.1104144592424372,0.9112455206254194,1.0142058388482442,1.088223763896632,1.881813310891511,1.7198286362446218,2.0339007056150966
2023-02-27,1.62510862075292,1.62510862075292,1.62510862075292,1.6483873413827437,1.6684446684661258,0.9377916218114416,1.0033552193643291,1.1579248263567516,1.1270453049135318,0.9248933829131069,1.0293957534285314,1.1035703446843257,1.9099975140912782,1.7455867704187995,2.03464289896735
2023-02-28,1.6338537949826646,1.6338537949826646,1.6338537949826646,1.6572577850653443,1.677423046361669,0.9428381467139654,1.0087545607348767,1.1641559509856672,1.1331102580067707,0.9298704987035367,1.0349352263598366,1.1088613697355287,1.9202757569273592,1.7549802720257117,2.03538830959556
2023-03-01,1.653062722457452,1.653062722457452,1.653062722457452,1.6767418690746387,1.6971442097491434,0.9539229265371707,1.0206143080736663,1.1778427247352503,1.1464320330847055,0.9408028202034111,1.0471027751119326,1.1199038163011905,1.942852096291189,1.7756132618737304,2.0361325196855256
2023-03-02,1.6346804532431882,1.6346804532431882,1.6346804532431882,1.6580962847169338,1.6782717487498056,0.9433151814062439,1.0092649462375654,1.16474496276651,1.13368356203051,0.9303409723354681,1.0354588581294628,1.1100835477876836,1.92124733212082,1.7558682149636788,2.0368762647019993
2023-03-03,1.6476604382110507,1.6476604382110507,1.6476604382110507,1.6712622002989026,1.691597865195097,0.950805462977983,1.017278894042938,1.1739934810797426,1.1426854409997445,0.937728233749124,1.043680795564816,1.1177768375854313,1.9365027671760309,1.7698104768843854,2.0376202813887323
2023-03-06,1.663555481255495,1.663555481255495,1.663555481255495,1.6873849304417385,1.7079167742722365,0.9599779195172301,1.0270926223051602,1.185319040935947,1.1537089710000588,0.94677453375959,1.0537492239772712,1.1267998830273003,1.9551842831766024,1.7868839060073964,2.0383630942004474
2023-03-07,1.664628686716525,1.664628686716525,1.664628686716525,1.688473508936784,1.709018598425255,0.9605972277142231,1.0277552280454927,1.1860837228970411,1.1544532604343865,0.9473853240887637,1.0544290266255574,1.127439970276233,1.9564456264102177,1.7880366740321252,2.0391061778039674
2023-03-09,1.6606694287319144,1.6606694287319144,1.6606694287319144,1.6844575369212782,1.7049537606715515,0.9583124826091004,1.0253107501115633,1.1832626664730048,1.1517074358996366,0.9451320030095145,1.0519211060447178,1.125380657598534,1.9517922925889075,1.7837838946976525,2.0398487938370735
2023-03-10,1.650597250452383,1.650597250452383,1.650597250452383,1.6742410806400743,1.6946129921003168,0.9525001914900246,1.0190921056972264,1.1760860229327366,1.1447221789788171,0.9393996532309848,1.045541066325329,1.1198031548606118,1.9399544158896405,1.7729650110061097,2.040589463728852
2023-03-13,1.6456808092187454,1.6456808092187454,1.6456808092187454,1.6692542142911493,1.689565446318245,0.9496630904254216,1.0160566550759733,1.1725829528677243,1.1413125287323693,0.9366015732094993,1.0424268352743962,1.1168659497943665,1.934176100265376,1.7676840872171489,2.041331880890199
2023-03-14,1.6607999537204183,1.6607999537204183,1.6607999537204183,1.6845899316031083,1.7050877663117838,0.9583878038763025,1.0253913372961987,1.183355668333138,1.1517979575875956,0.9452062883198197,1.0520037847451853,1.1261172177642862,1.9519456991984019,1.783924096214174,2.0420745681613606
2023-03-15,1.6403147819135957,1.6403147819135957,1.6403147819135957,1.6638113218159223,1.6840563255531527,0.946566549440457,1.012743626374311,1.168759543062254,1.1375910815607306,0.9335476215636306,1.0390278220329654,1.114301022596881,1.9278693840973002,1.7619202470935051,2.0428234405846792
2023-03-16,1.6375229974372674,1.6375229974372674,1.6375229974372674,1.6609795466767834,1.681190093803746,0.9449555112253062,1.0110199560362836,1.1667703366094075,1.1356549232349453,0.9319587413154418,1.0372594164951936,1.1126505725677476,1.924588187172017,1.7589214924345817,2.0435733269724077
2023-03-17,1.6843379599805761,1.6843379599805761,1.6843379599805761,1.7084651058930926,1.7292534501002852,0.9719707390617023,1.0399238929253833,1.2001270037771343,1.1681220353161637,0.9586024059448072,1.0669135103961112,1.1411931694202717,1.9796100244437738,1.8092071030268082,2.044330881022041
2023-03-20,1.7382737857855832,1.7382737857855832,1.7382737857855832,1.76317353052923,1.7846275585472575,1.003095160475443,1.0732243084429052,1.2385574390921201,1.2055276083737996,0.9892987469474739,1.1010781867336301,1.1660191137319305,2.043001044522355,1.8671414852425725,2.045087237408053
2023-03-21,1.7389916732223536,1.7389916732223536,1.7389916732223536,1.7639017012792946,1.7843955167734067,1.0035094274450533,1.073667537958398,1.2390689493228522,1.2053708626352653,0.9897073161541511,1.101388794870279,1.1663749857485048,2.0438447808745708,1.8679125935834389,2.0458438736288937
2023-03-22,1.735895330439517,1.735895330439517,1.735895330439517,1.7607610052158862,1.7850537667387454,1.0017226396064318,1.0717558308562223,1.2368627385296955,1.2058155147995928,0.987945103515251,1.0999851454115501,1.1655274279118117,2.0402056351938023,1.8645867020526332,2.0465985699090883
2023-03-23,1.7318853127371547,1.7318853127371547,1.7318853127371547,1.7566935463796687,1.785710322095933,0.9994086028973972,1.0692800134616014,1.2340055147156073,1.2062590222450116,0.9856628937042164,1.0979754469764584,1.164250693840134,2.035492643246578,1.86027939990618,2.0473513232883556
2023-03-24,1.7341912542007196,1.7341912542007196,1.7341912542007196,1.7590325190919966,1.7863658265494078,1.0007392786179634,1.070703720390154,1.2356485475779584,1.2067018197980872,0.9869752675196036,1.0992619630781435,1.1653026007799403,2.0382028266809677,1.8627562933647195,2.0481028717862486
2023-03-27,1.7698318274504654,1.7698318274504654,1.7698318274504654,1.795183622491649,1.7870202785289944,1.021306169078912,1.0927084988613316,1.2610432221642927,1.2071439063981557,1.0072592841945305,1.1189077695982903,1.1793289557047042,2.080091353662176,1.901039096348113,2.048853213602531
2023-03-28,1.7709267870762462,1.7709267870762462,1.7709267870762462,1.7962942667669999,1.787673029474055,1.0219380308204389,1.0933845357991034,1.261823404435409,1.2075848439382568,1.0078824554087553,1.1194217522369616,1.1798337067161229,2.0813782646640404,1.9022152312922622,2.049601605149923
2023-03-29,1.7844723803276248,1.7844723803276248,1.7844723803276248,1.8100338926368984,1.7883260188516625,1.0297547045500528,1.101747694737895,1.2714749308092184,1.2080259425411055,1.0155916198337327,1.1257277048915177,1.1844082051210174,2.0972984616937245,1.9167650331178938,2.0503502700648286
2023-03-30,1.7881415827822271,1.7881415827822271,1.7881415827822271,1.8097906882202726,1.7889798942134807,1.0318720690613934,1.104013090039302,1.2713040896332273,1.2084676396320935,1.0176798624456376,1.12735875675164,1.1856966078270514,2.101610891938382,1.9207062535267638,2.0510999507777186
2023-03-31,1.777075964312418,1.777075964312418,1.777075964312418,1.8104530670021628,1.789634656297775,1.0254864994086148,1.0971810876085761,1.2717693836916975,1.2089099357099236,1.0113821189164538,1.1230647997933787,1.1828304898470208,2.088605420489079,1.908820280515033,2.0518506481350287
2023-04-03,1.7935003586991272,1.7935003586991272,1.7935003586991272,1.8111183092824008,1.7902922489530322,1.034964425531514,1.1073216416751515,1.2722366892408796,1.2093541438569846,1.020729687129823,1.130312214609708,1.188064096700711,2.1079090855170417,1.9264623046772684,2.052604590796538
2023-04-04,1.7986705985215212,1.7986705985215212,1.7986705985215212,1.8117864170831113,1.7909526741781248,1.0379479846156758,1.1105137895998611,1.272706007701234,1.209800265423528,1.0236722108102343,1.1322994529771633,1.1896027018535382,2.1139856917708766,1.9320158425261307,2.0533617810539924
2023-04-05,1.8134271736106842,1.8134271736106842,1.8134271736106842,1.812454115921152,1.7916126951432119,1.0464634723243293,1.1196246185294334,1.2731750388820051,1.210246113909789,1.0320705778363743,1.1372254501973453,1.1931990311307878,2.1313291612330865,1.9478664028661528,2.054118507819554
2023-04-06,1.8116143265481335,1.8116143265481335,1.8131913872382848,1.8131246831261267,1.7922755514918642,1.0454173436131926,1.119479042114183,1.2736460849734714,1.2106938777162255,1.031111968230359,1.136900746822196,1.1931190599953287,2.1291985138790066,1.9459191595811378,2.0548784854070554
2023-04-07,1.818930977292588,1.818930977292588,1.8138615714647826,1.8137948426977293,1.7929380048945232,1.0496395190913406,1.1198928192814475,1.2741168447191318,1.211141369330003,1.0348544337295775,1.1391740702986957,1.1948565495333494,2.1377978066000725,1.953778233479458,2.0556380010092044
